Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),random
0.85 ± 0.02,0.91 ± 0.02,0.63 ± 0.03,0.69 ± 0.03,0.62 ± 0.03,0.55 ± 0.04,0.58 ± 0.04,0.48 ± 0.04,30.00 ± 11.27
0.77 ± 0.00,0.86 ± 0.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.44 ± 0.03,30.00 ± 11.27
0.38 ± 0.02,0.85 ± 0.04,0.98 ± 0.03,0.27 ± 0.01,0.42 ± 0.02,0.11 ± 0.02,0.20 ± 0.04,0.45 ± 0.03,30.00 ± 11.27
0.81 ± 0.06,0.84 ± 0.05,0.53 ± 0.16,0.61 ± 0.13,0.53 ± 0.14,0.43 ± 0.18,0.46 ± 0.18,0.45 ± 0.03,30.00 ± 11.27
0.84 ± 0.01,0.84 ± 0.03,0.55 ± 0.05,0.61 ± 0.08,0.55 ± 0.06,0.48 ± 0.06,0.49 ± 0.07,0.51 ± 0.03,30.00 ± 11.27
0.78 ± 0.01,0.84 ± 0.02,0.02 ± 0.03,0.03 ± 0.06,0.02 ± 0.04,0.02 ± 0.03,0.02 ± 0.04,0.54 ± 0.03,30.00 ± 11.27
0.77 ± 0.00,0.83 ± 0.08,0.02 ± 0.03,0.03 ± 0.06,0.02 ± 0.04,0.01 ± 0.02,0.02 ± 0.03,0.46 ± 0.03,30.00 ± 11.27
0.81 ± 0.01,0.83 ± 0.01,0.52 ± 0.03,0.55 ± 0.07,0.49 ± 0.04,0.40 ± 0.03,0.43 ± 0.03,0.45 ± 0.04,30.00 ± 11.27
0.79 ± 0.03,0.82 ± 0.04,0.53 ± 0.03,0.54 ± 0.07,0.50 ± 0.05,0.39 ± 0.07,0.42 ± 0.07,0.46 ± 0.04,30.00 ± 11.27
0.82 ± 0.03,0.81 ± 0.05,0.45 ± 0.09,0.54 ± 0.14,0.46 ± 0.12,0.39 ± 0.13,0.41 ± 0.12,1.48 ± 0.05,30.00 ± 11.27
0.83 ± 0.04,0.80 ± 0.02,0.42 ± 0.03,0.55 ± 0.13,0.44 ± 0.08,0.39 ± 0.10,0.42 ± 0.10,0.52 ± 0.05,30.00 ± 11.27
0.76 ± 0.01,0.77 ± 0.07,0.45 ± 0.05,0.39 ± 0.11,0.38 ± 0.06,0.27 ± 0.06,0.29 ± 0.06,0.46 ± 0.04,30.00 ± 11.27
0.77 ± 0.03,0.76 ± 0.08,0.43 ± 0.08,0.45 ± 0.10,0.41 ± 0.10,0.30 ± 0.11,0.32 ± 0.10,0.45 ± 0.03,30.00 ± 11.27
0.75 ± 0.03,0.73 ± 0.03,0.37 ± 0.03,0.41 ± 0.07,0.35 ± 0.03,0.23 ± 0.06,0.25 ± 0.07,9.52 ± 0.29,30.00 ± 11.27
0.75 ± 0.04,0.66 ± 0.07,0.48 ± 0.12,0.41 ± 0.14,0.41 ± 0.13,0.29 ± 0.14,0.31 ± 0.14,0.44 ± 0.03,30.00 ± 11.27
0.77 ± 0.00,0.50 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.45 ± 0.03,30.00 ± 11.27
0.23 ± 0.00,0.00 ± 0.00,1.00 ± 0.00,0.23 ± 0.00,0.37 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.45 ± 0.03,30.00 ± 11.27
0.80 ± 0.01,0.00 ± 0.00,0.23 ± 0.06,0.32 ± 0.08,0.26 ± 0.07,0.22 ± 0.07,0.23 ± 0.07,0.45 ± 0.03,30.00 ± 11.27
0.73 ± 0.09,0.00 ± 0.00,0.53 ± 0.08,0.42 ± 0.09,0.42 ± 0.06,0.32 ± 0.11,0.34 ± 0.10,0.44 ± 0.04,30.00 ± 11.27
