,prediction_score_1
0,0.0158
1,0.0351
2,0.0657
3,0.0104
4,0.0368
5,0.0019
6,0.0356
7,0.0018
8,0.2853
9,0.022
10,0.0237
11,0.004
12,0.018
13,0.0047
14,0.0348
15,0.0896
16,0.391
17,0.3178
18,0.0238
19,0.0193
20,0.1599
21,0.0201
22,0.0012
23,0.0046
24,0.0424
25,0.0355
26,0.9444
27,0.0806
28,0.0475
29,0.1044
30,0.3999
31,0.0503
32,0.1284
33,0.0111
34,0.0252
35,0.1545
36,0.4622
37,0.1742
38,0.7981
39,0.085
40,0.4126
41,0.0006
42,0.2772
43,0.0524
44,0.0101
45,0.0037
46,0.1155
47,0.2253
48,0.0423
49,0.3751
50,0.0013
51,0.9964
52,0.079
53,0.1941
54,0.0804
55,0.6421
56,0.4466
57,0.0739
58,0.0034
59,0.2272
60,0.7668
61,0.0232
62,0.0569
63,0.002
64,0.043
65,0.0604
66,0.0293
67,0.0217
68,0.0305
69,0.001
70,0.9918
71,0.5322
72,0.0078
73,0.2588
74,0.0069
75,0.9948
76,1.0
77,0.0255
78,0.0791
79,0.1901
80,0.963
81,0.0005
82,0.0782
83,0.0099
84,0.0502
85,0.0005
86,0.0178
87,0.0793
88,0.1312
89,0.0309
90,0.0074
91,0.9879
92,0.0245
93,0.0053
94,0.4266
95,0.0143
96,0.0228
97,0.991
98,0.7158
99,0.0
100,0.4323
101,0.0084
102,0.4806
103,1e-04
104,0.1014
105,0.2789
106,0.0379
107,0.0069
108,0.956
109,0.5081
110,0.0018
111,0.0327
112,0.7289
113,0.2491
114,1e-04
115,0.0009
116,0.0017
117,0.9918
118,0.0041
119,0.0047
120,0.0011
121,0.1234
122,0.0017
123,0.096
124,0.1977
125,0.6826
126,0.0049
127,0.267
128,0.0006
129,0.0696
130,0.0657
131,0.0104
132,0.0003
133,0.2534
134,0.0352
135,0.0
136,0.0011
137,0.0609
138,0.1247
139,0.0109
140,0.0007
141,0.003
142,0.9972
143,0.7273
144,0.6186
145,0.0002
146,0.5708
147,0.1044
148,0.5289
149,0.0038
150,0.252
151,0.0074
152,0.1157
153,0.5708
154,0.1068
155,0.9604
156,0.4341
157,0.037
158,0.0039
159,0.1588
