iter	Logloss
0	0.6908725353
1	0.6896530907
2	0.688113485
3	0.686235552
4	0.6845502783
5	0.6831014425
6	6	0.6803013771
7	0.6786861425
8	0.6767496155
9	0.6744306773
10	0.6726823166
11	0.670671288
12	0.6696340625
13	0.6681797216
14	0.6669117316
15	0.6650154566
16	0.6630010448
17	0.6611101276
18	0.6590358564
19	0.6573258838
20	0.6558436933
21	0.6543285061
22	0.6524048044
23	0.65052824	0.6529034232
25	0.6514282007
26	0.6503331946
27	0.648746655
28	0.6474273147
29	0.6456182189
30	0.6441969267
31	0.6426197993
32	0.6413395795
33	33	0.6345257734	0.34	0.63277459935	0.6317514227
36	0.6300414092
37	0.6275338238	0.627135287
39	0.625436066
40	0.6237254963
41	0.6217507057
42	0.620096446
43	0.6181839998
44	0.6164844037
45	0.6150576662
46	046	0.612148347	0.612134445
48	0.6107372461
49	0.6092522535
50	0.6081777623
51	0.6065100854
52	0.6051570403
53	0.603584266
54	0.6016567229
55	55	0.6082228205
56	0.6069231257	57	0.605467994
58	0.6038212668
59	0.6026435353
60	0.6011948476
61	0.5998541003
62	0.5988758625
63	0.5972415721
64	0.5957425561
65	0.5941949128
66	0.592783669
67	0.5915802408
68	0.5899376219
69	0.588929382
70	0.5873188265
71	0.5861577336
72	0.5852513932
73	0.5842866586
74	0.5830778515
75	0.5819588608
76	0.5805361947
77	0.5795844031
78	0.5784214055
79	0.5768401345
80	0.5754366572
81	0.5738831126
82	0.5725497213
83	0.5715096222
84	0.5702743012
85	0.5689577715
86	0.5676642912
87	0.5667061266
88	0.5655875736
89	0.564218871
90	0.5628325329
91	0.5616952236
92	0.5602729788
93	0.5594716126
94	0.5585924316
95	0.5573545589
96	0.5563473782
97	0.5552388446
98	0.5538330408
99	0.5530749073
100	0.5518252314
101	0.550572984
102	0.5498273606
103	0.5482859224
104	0.5473662576
105	0.5461246107
106	0.5452610452
107	0.5440087556
108	0.5428071232
109	0.5417537753
110	0.5407663383
111	0.5396295345
112	0.5387405104
113	0.537455610114	0.5099245634
115	0.5087448262
116	0.5075432431
117	0.5061969433
118	0.5048684953
119	0.5034715997
120	0.5019804038
121	0.5008130038
122	0.4997918821
123	0.4988165436
124	0.4977576066
125	0.4969321473
126	0.495757625
127	0.4943019298
128	0.4929826986
129	0.4919960487
130	0.4908311632
131	0.4895786388
132	0.4885161881
133	0.4873930859
134	0.4865836655
135	0.4853971052
136	0.4844319049
137	0.4833796526
138	0.4822080573
139	0.4811617928
140	0.4803335241
141	0.479567533
142	0.4784623344
143	0.4774612709
144	0.4765043112
145	0.47528045
146	0.4738464256
147	0.4726330813
148	0.4714967878
149	0.4704828101
150	0.4694201331
151	0.4680793825
152	0.4675169086
153	0.4666748463
154	0.4658364497
155	0.464827731
156	0.4636765141
157	0.4629331979
158	0.4619281462
159	0.460937693
160	0.4599350147
161	0.4591120931
162	0.4583550223
163	0.4574952627
164	0.4560600188
165	0.4551296381
166	0.4540995042
167	0.4530035461
168	0.451597428
169	0.45041465
170	0.4497698295
171	0.4490773711
172	0.4481582254
173	0.446835964
174	0.445922765
175	0.4448927054
176	0.4438678069
177	0.4431854647
178	0.4419791665
179	0.440783048
180	0.4399907012
181	0.439225168
182	0.4385288211
183	0.4375755527
184	0.4364555038
185	0.4356793988
186	0.4348330715
187	0.4339638343
188	0.4330615401
189	0.4319376099
190	0.4310888653
191	0.4300899605
192	0.4293218028
193	0.4282877332
194	0.4272200645
195	0.426647428
196	0.4257022133
197	0.4245194797
198	0.4236140327
199	0.4227546529
200	0.4214215236
201	0.4206111781
202	0.4199331124
203	0.4193754329
204	0.4184794213
205	0.4175921371
206	0.4167125816
207	0.4162616044
208	0.4154207512
209	0.4146591591
210	0.4135929346
211	0.4130785101
212	0.4123276657
213	0.4117212139
214	0.4107908006
215	0.4103725685
216	0.4098187586
217	0.4088453542
218	0.4078748534
219	0.407004389
220	0.4063612606
221	0.4053483743
222	0.4044003278
223	0.403649069
224	0.4029692042
225	0.4024355255
226	0.401456708
227	0.4005635494
228	0.3995305475
229	0.39877205
230	0.3981155739
231	0.3973194734
232	0.3967667946
233	0.3958905992
234	0.3947725225
235	0.3938601892
236	0.3930705294
237	0.3922676922
238	0.3912758506
239	0.3905485339
240	0.389456793
241	0.3885889659
242	0.3873731021
243	0.3865272554
244	0.3244	0.4177245	0.3848424081
246	0.3840922439
247	0.3830390312
248	0.3822407609
249	0.3816708099
250	0.3807457988
251	0.380043526
252	0.3792862249
253	0.3787062409
254	0.3780337586
255	0.3772602294
256	0.3763855445
257	0.3756876673
258	0.3751108206
259	0.374520045
260	0.3738380954
261	0.3732926973
262	0.3727099035
263	0.3723068483
264	0.3715847078
265	0.3707701072
266	0.3701389914
267	0.3696421404
268	0.3687667336
269	0.3682972429
270	0.3674376985
271	0.3670142085
272	0.3663073977
273	0.3655889649
274	0.3650852612
275	0.3642930455
276	0.3635142654
277	0.3628693724
278	0.3622671049
279	0.3617153646
280	0.3612650836
281	0.3605389042
282	0.3600886422
283	0.3595020596
284	0.3589734227
285	0.3581520012
286	0.3572385164
287	0.3563761829
288	0.3556199599
289	0.3550651717
29290	0.3641112153
291	0.3634177962
292	0.3627788013
293	0.3620795915
294	0.3612913352
295	0295	0.384801717
296	0.3840968983
297	0.383591808
298	0.38314411299	0.3580667362
300	0.3574379876
301	0.3566116085
302	0.3560321066
303	0.3555313637
304	0.355034121
305	0.3543022105
306	0.3537693255
307	0.3530433627
308	0.3523779483
309	0.3520991116
310	0.3516050393
311	0.3509355537
312	0.35003657
313	0.3492439375
314	0.3485199398
315	0.3478560363
316	0.3472868441
317	0.346618184
318	0.318	0.37099319	0.3452520191
320	0.3447004155
321	0.344011829
322	0.3434965814
323	0.3427644722
324	0.3421760977
325	0.3325	0.3665326	0.3410885812
327	0.3403680431
328	0.3397840403
329	0.3391596999
330	0.3387649107
331	0.3381624716
332	0.3376286983
333	0.3369179834
334	0.3362638449
335	0.3358399899
336	0.335222753
337	0.3346703422
338	0.3341061906
339	0.3339	0.3581012833
340	0.3570341	0.3326189939
342	0.3320186666
343	0.331312356
344	0.3306844116
345	0.3301526679
346	0.3295005283
347	0.3288719839
348	0.328071892
349	0.3275675289
350	0.3271101697
351	0.3265966965
352	0.3260458817
353	0.3255611185
354	0.325103572
355	0.3243216827
356	0.3239135437
357	0.3234504944
358	0.3227970506
359	0.322412343
360	0.3218559992
361	0.3213459731
362	0.3208714617
363	0.3203039214
364	0.3197098355
365	0.3190662494
366	0.3182384391
367	0.3177308204
368	0.317256865
369	0.3166568454
370	0.3162613442
371	0.3157795391
372	0.315205356
373	0.3147584545
374	0.3142477272
375	0.3140412974
376	0.3134379552
377	0.31377	0.3355164715
378	0.3349803913
379	0.3344598945
380	0.3340498838
381	0.333455537
382	0.3330879171
383	0.3325621051
384	0.332059592
385	0.3315583891
386	0.3312359194
387	0.3306935924
388	0.3303342287
389	0.32390	0.3061945793
391	0.3056269683
392	0.3051394858
393	0.3047923183
394	0.3043155866
395	0.303737042
396	0.3033443169
397	0.3028066404
398	0.3021705375
399	0.3017599147
400	0.3013592116
401	0.30401	0.3241477819
402	0.3236012695
403	0.32319404	0.2905338461
405	0.2899145477
406	0.2896934085
407	0.2894404237
408	0.2888444972
409	0.409	0.3211802036
410	0.3206877264
411	0.3203585363
412	0.319667341
413	0.3192174238
414	0.3188455301
415	0.3183381456
416	0.3179972195
417	0.317767587
418	0.3171388885
419	0.3166293076
420	0.3161766487
421	0.3157132613
422	0.3154303978
423	0.3149742349
424	0.3145549558
425	0.3141316906
426	0.3137594982
427	0.3134189986
428	0.3128787137
429	0.3123571054
430	0.3119680073
431	0.3115494535
432	0.3110275316
433	0.3107115016
434	0.3100757015
435	0.3096725979
436	0.3090081213
437	0.308255378
438	0.3080165679
439	0.3075293303
440	0.30715716
441	0.3066741209
442	0.3061860211
443	0.305615169
444	0.3050822812
445	0.3045377008
446	0.3040797684
447	0.30338452
448	0.3030367714
449	0.3027791317
450	0.302331296
451	0.3018227908
452	0.3014927691
453	0.3007695443
454	0.3003808695
455	0.2999779658
456	0.2994957739
457	0.2991331205
458	0.2986613207
459	0.298164415
460	0.2978698053
461	0.2972684018
462	0.2969003672
463	0.2964467066
464	0.2961534427
465	0.2958878146
466	0.2953202578
467	0.2949094266
468	0.2943524158
469	0.2940890406
470	0.2936642742
471	0.2930318008
472	0.2926809459
473	0.2923061637
474	0.2921069903
475	0.2916269241
476	0.2911823468
477	0.2906178593
478	0.2899111084
479	0.2893742034
480	0.2890835139
481	0.288688531
482	0.2883780383
483	0.2878799029
484	0.2874160054
485	0.2869995515
486	0.2865770253
487	0.2862160471
488	0.2856059027
489	0.285176272
490	0.2849008682
491	0.2844243624
492	0.2837887189
493	0.2835067563
494	0.283124282
495	0.2828734035
496	0.2823292724
497	0.2817221203
498	0.2812914503
499	0.2808294651
500	0.2804505269
501	0.2800719535
502	0.2798070915
503	0.2792181131
504	0.2786921615
505	0.2783504412
506	0.2779656083
507	0.2776812078
508	0.2773152469
509	0.2769063541
510	0.2765935664
511	0.2761697235
512	0.2757790971
513	0.2752773932
514	0.2748491986
515	0.2746510813
516	0.2742861074
517	0.2738919048
518	0.2736025252
519	0.2732995051
520	0.2730551265
521	0.2727160042
522	0.2723169615
523	0.2721144533
524	0.2717002453
525	0.2714224195
526	0.2712117206
527	0.270849135
528	0.2702587472
529	0.2699868812
530	0.2697124595
531	0.2694736135
532	0.2692084092
533	0.26883275
534	0.2684211705
535	0.2680646569
536	0.2677365343
537	0.2673450798
538	0.2670769162
539	0.2666852543
540	0.2662076903
541	0.2659267275
542	0.2657360598
543	0.2652754237
544	0.2648505755
545	0.2644541845
546	0.2641317343
547	0.263993378
548	0.2637707605
549	0.2633234639
550	0.2630286638
551	0.2627068827
552	0.262549095
553	0.2622161517
554	0.2617627553
555	0.2614409945
556	0.2612576128
557	0.2608204484
558	0.2604585626
559	0.2600573365
560	0.2598953914
561	0.2594606444
562	0.2592223656
563	0.2589292455
564	0.2585271204
565	0.2581075312
566	0.2576632731
567	0.2572316206
568	0.2568844845
569	0.2565821376
570	0.2561959608
571	0.25578195572	0.2253641978
573	0.2250847585
574	0.2246919951
575	0.2243390724
576	0.224040148
577	0.2237527962
578	0.2234963242
579	0.2232168118
580	0.2229633206
581	0.2227844355
582	0.222512692
583	0.2222828723
584	0.2219712599
585	0.221582136
586	0.2213013011
587	0.2209912699
588	0.2207799566
589	0.2204797994
590	0.2202175359
591	0.2197212331
592	0.2193474732
593	0.2191251734
594	0.2188433615
595	0.2185649207
596	0.2182940765
597	0.2179827484
598	0.2177461305
599	0.2175091295
600	0.2171759601
601	0.2169083858
602	0.2165585988
603	0.2162001511
604	0.2159705512
605	0.2157628905
