iter	Passed	Remaining
0	292	292148
1	293	146571
2	295	98244
3	299	74526
4	326	645	245	327	546	336	47702
7	337	41899
8	339	37330
9	340	33674
10	341	30680
11	354	29172
12	359	27272
13	360	25386
14	361	23758
15	414	25501
16	416	24055
17	417	22760
18	418	21617
19	422	20703
20	424	19803
21	445	19796
22	446	18972
23	447	18212
24	424	574	22420
25	576	21583
26	576	20792
27	578	20066
28	579	19397
29	580	18765
30	622	19457
31	623	18872
3233	629	17886
34	631	34	58335	654	17536
36	657	17112
37	658	37	60038	678	16707
39	699	16777
40	700	16388
41	701	16009
42	703	15646
43	709	15422
44	779	16551
45	826	17136
46	827	46	77247	839	16653
48	868	16850
49	873	16595
50	881	16395
51	882	16086
52	883	15786
53	884	15500
54	886	15225
55	887	149555	903	15237
5657	923	150057	995	16164
58	1015	16189
59	1016	60	95960	1047	16119
61	1133	17141
62	1134	16874
63	1174	17183
64	1237	17800
65	1263	17874
66	1270	17695
67	1324	18148
68	1325	17883
69	1332	17697
70	1333	17445
71	1334	17201
72	1392	17677
73	1399	17518
74	1401	17285
75	1402	17055
76	1461	17514
77	1463	17295
78	1467	17112
79	1484	17067
80	1496	16979
81	1498	16770
82	1499	16568
83	1504	16401
84	1506	16214
85	1539	16363
86	1549	16261
87	1550	16066
88	1584	16214
89	1609	16272
90	1611	16095
91	1612	15917
92	1614	15742
93	1617	15592
94	1619	15428
95	1621	15273
96	1624	15122
97	1630	15011
98	1632	14859
99	1636	14731
100	1638	14582
101	1639	14434
102	1640	14285
103	1641	14140
104	1642	13999
105	1645	13878
106	1664	13892
107	1666	13760
108	1667	13627
109	1668	13497
110	1671	13384
111	1677	13299
112	1678	13178114	1746	13441
115	1758	13398
116	1767	13341
117	1772	13245
118	1776	13149
119	1777	13034
120	1807	13129
121	1820	13100
122	1898	13538
123	1900	13422
124	1901	13309
125	1903	13205
126	1962	13488
127	1963	13376
128	1964	13265
129	1965	13156
130	2010	13336
131	2011	13229
132	2031	13240
133	2032	13134
134	2034	13037
135	2053	13045
136	2057	12961
137	2058	12859
138	2060	12761
139	2061	12663
140	2063	12572
141	2065	12478
142	2066	12384
143	2069	12302
144	2094	12351
145	2095	12259
146	2097	12169
147	2099	12084
148	2102	12006
149	2104	11928
150	2107	11847
151	2108	11764
152	2109	11678
153	2112	11606
154	2132	11627
155	2134	11546
156	2135	11465
157	2163	11527
158	2164	11447
159	2165	11368
160	2166	11290
161	2205	11409
162	2207	11335
163	2209	11262
164	2210	11188
165	2211	11112
166	2212	11038
167	2214	10965
168	2216	10897
169	2218	10830
170	2220	10764
171	2222	10699
172	2225	10638
173	2227	10573
174	2228	10507
175	2230	10444
176	2233	10385
177	2236	10326
178	2237	10262
179	2269	10337
180	2270	10273
181	2271	10210
182	2276	10163
183	2281	10115
184	2283	10058
185	2300	10066
186	2301	10006
187	2302	9946
188	2303	9885
189	2306	9833
190	2308	9779
191	2309	9721
192	2312	9668
193	2313	9610
194	2314	9554
195	2315	9498
196	2317	9445
197	2320	9399
198	2322	9350
199	2324	9296
200	2326	9248
201	2327	9196
202	2333	9162
203	2336	9116
204	2337	9065
205	2339	9016
206	2341	8970
207	2343	8211	208	2348	8212	2311	8540
213	210	2378	8214	211	2389	8882
212	2393	8844
213	2432	8934
214	2449	8943
215	2454	8908
216	2456	8863
217	2490	8935
218	2508	8946
219	2509	8898
220	2510	8849
221	2511	8801
222	2512	8754
223	2513	8707
224	2551	8788
225	2568	8795
226	2580	8787
227	2581	8741
228	2582	8695
229	2583	8650
230	2584	8604
231	2590	8576
232	2619	8623
233	2623	8586
234	2623	8541
235	2624	8497
236	2651	8536
237	2653	8494
238	2654	8452
239	2710	8582
240	2715	8550
241	2716	8508
242	2717	8466
24244	2657	8188
245	2658	814245	2737	8391
246	2769	8443
247	2771	8405
248	2773	8364
249	2812	8436
250	2815	8402
251	2817	8361
252	2818	8320
253	2819	8280
254	2821	8243
255	2824	8207
256	2862	8275
257	2863	8236
