Model,Accuracy,within_1_accuracy,Precision,Recall,F1
<catboost,0.73 ± 0.01,0.90 ± 0.03,0.73 ± 0.01,0.73 ± 0.01,0.73 ± 0.01
ExtraTreesRegressor,0.73 ± 0.01,0.89 ± 0.02,0.73 ± 0.01,0.73 ± 0.01,0.73 ± 0.01
XGBRegressor,0.69 ± nan,0.91 ± nan,0.69 ± nan,0.69 ± nan,0.69 ± nan
RandomForestRegressor,0.50 ± 0.03,0.85 ± 0.03,0.50 ± 0.03,0.50 ± 0.03,0.50 ± 0.03
LGBMRegressor,0.38 ± 0.05,0.73 ± 0.04,0.38 ± 0.05,0.38 ± 0.05,0.38 ± 0.05
SVR,0.37 ± 0.01,0.69 ± 0.02,0.37 ± 0.01,0.37 ± 0.01,0.37 ± 0.01
AdaBoostRegressor,0.35 ± 0.03,0.91 ± 0.01,0.35 ± 0.03,0.35 ± 0.03,0.35 ± 0.03
KNeighborsRegressor,0.32 ± 0.03,0.76 ± 0.02,0.32 ± 0.03,0.32 ± 0.03,0.32 ± 0.03
MLPRegressor,0.30 ± 0.04,0.72 ± 0.02,0.30 ± 0.04,0.30 ± 0.04,0.30 ± 0.04
KernelRidge,0.28 ± 0.01,0.67 ± 0.01,0.28 ± 0.01,0.28 ± 0.01,0.28 ± 0.01
Ridge,0.27 ± 0.01,0.67 ± 0.01,0.27 ± 0.01,0.27 ± 0.01,0.27 ± 0.01
BayesianRidge,0.26 ± 0.03,0.67 ± 0.01,0.26 ± 0.03,0.26 ± 0.03,0.26 ± 0.03
LinearRegression,0.26 ± 0.02,0.75 ± 0.04,0.26 ± 0.02,0.26 ± 0.02,0.26 ± 0.02
Lars,0.26 ± 0.02,0.75 ± 0.04,0.26 ± 0.02,0.26 ± 0.02,0.26 ± 0.02
TheilSenRegressor,0.26 ± 0.01,0.73 ± 0.01,0.26 ± 0.01,0.26 ± 0.01,0.26 ± 0.01
ARDRegression,0.25 ± 0.01,0.71 ± 0.04,0.25 ± 0.01,0.25 ± 0.01,0.25 ± 0.01
OrthogonalMatchingPursuit,0.18 ± nan,0.56 ± nan,0.18 ± nan,0.18 ± nan,0.18 ± nan
