iter	Passed	Remaining
0	4	4365
1	5	2778
2	7	2442
3	8	2195
4	10	2006
5	11	1890
6	12	1764
7	13	1668
8	14	1610
9	15	1541
10	16	1472
11	17	1413
12	18	1374
13	18	1294
14	19	1264
15	20	1236
16	20	1203
17	21	1179
18	22	1157
19	23	1137
20	24	1135
21	25	1122
22	26	1111
23	26	1096
24	28	1096
25	28	1081
26	29	1073
27	30	1064
28	31	1050
29	32	1042
30	33	1033
31	33	1021
32	34	1015
33	35	1005
34	36	997
35	37	994
36	38	993
37	39	992
38	39	981
39	40	976
40	41	971
41	42	964
42	43	958
43	43	955
44	44	951
45	45	948
46	46	941
47	47	933
48	47	928
49	48	922
50	49	920
51	50	917
52	51	912
53	51	910
54	52	906
55	53	902
56	54	899
57	55	894
58	55	889
59	56	886
60	57	882
61	57	873
62	58	870
63	59	865
64	59	862
65	60	860
66	61	856
67	62	854
68	63	851
69	63	848
70	64	845
71	65	842
72	66	841
73	67	840
74	68	839
75	68	836
76	69	833
77	70	831
78	71	828
79	71	825
80	72	823
81	73	825
82	75	831
83	76	834
84	77	831
85	77	828
86	78	826
87	79	825
88	80	823
89	81	821
90	81	818
91	82	816
92	83	814
93	84	811
94	85	809
95	85	807
96	86	806
97	87	804
98	88	802
99	88	800
100	89	798
101	90	796
102	91	794
103	91	792
104	92	790
105	93	788
106	94	786
107	95	784
108	95	782
109	96	780
110	97	778
111	97	776
112	98	775
113	99	773
114	100	772
115	100	769
116	101	767
117	102	765
118	103	764
119	103	762
120	104	760
121	105	758
122	106	757
123	107	755
124	107	754
125	108	752
126	109	749
127	109	749
128	110	748
129	111	747
130	112	744
131	112	742
132	113	741
133	114	737
134	114	735
135	115	735
136	116	733
137	117	731
138	118	732
139	119	731
140	119	730
141	120	729
142	121	728
143	122	727
144	123	725
145	123	724
146	124	722
147	125	721
148	126	719
149	126	718
150	127	717
151	128	716
152	129	714
153	129	713
154	130	711
155	131	710
156	132	708
157	132	705
158	133	705
159	134	706
160	135	704
161	135	703
162	136	701
163	137	700
164	138	699
165	139	698
166	139	696
167	140	695
168	141	694
169	141	693
170	142	691
171	143	690
172	144	689
173	145	688
174	145	687
175	146	685
176	147	684
177	148	683
178	148	682
179	149	681
180	150	679
181	151	678
182	151	678
183	152	677
184	153	675
185	154	674
186	154	673
187	155	672
188	156	671
189	157	670
190	157	669
191	158	668
192	159	667
193	160	665
194	160	664
195	161	663
196	162	662
197	163	662
198	164	661
199	165	660
200	166	659
201	166	658
202	167	657
203	168	657
204	169	656
205	170	655
206	170	654
207	171	653
208	172	652
209	173	651
210	174	651
211	175	650
212	175	650
213	176	648
214	177	647
215	178	647
216	179	646
217	179	645
218	180	644
219	181	643
220	182	642
221	182	641
222	183	640
223	184	639
224	185	638
225	186	637
226	186	636
227	187	635
228	188	634
229	189	633
230	190	632
231	190	631
232	191	630
233	192	629
234	193	628
235	193	627
236	195	628
237	195	627
238	196	626
239	197	625
240	198	624
241	199	623
242	199	622
243	200	621
244	201	620
245	202	620
246	203	618
247	203	617
248	204	616
249	205	615
250	206	614
251	206	613
252	207	613
253	208	612
254	209	611
255	210	610
256	210	609
257	211	608
258	212	607
259	213	606
260	214	605
261	214	605
262	215	604
263	216	603
264	217	602
265	217	601
266	218	600
267	219	599
268	220	598
269	221	597
270	221	596
271	222	596
272	223	595
273	224	594
274	225	593
275	226	593
276	227	592
277	228	592
278	229	591
279	230	591
280	230	590
281	231	589
282	232	588
283	233	587
284	233	586
285	234	585
286	235	584
287	236	583
288	236	582
289	237	581
290	238	580
291	239	579
292	239	578
293	240	577
294	241	576
295	242	575
296	243	575
297	243	574
298	244	573
299	245	572
300	246	571
301	246	570
302	247	569
303	248	568
304	249	568
305	250	567
306	250	566
307	251	565
308	252	564
309	253	563
310	253	562
311	254	561
312	255	560
313	256	560
314	257	559
315	257	558
316	258	557
317	259	556
318	260	555
319	261	555
320	262	554
321	262	553
322	263	552
323	264	551
324	265	550
325	265	549
326	266	549
327	267	548
328	268	547
329	269	546
330	270	545
331	270	544
332	271	543
333	272	543
334	273	541
335	273	540
336	274	540
337	275	539
338	276	538
339	277	537
340	277	536
341	278	535
342	279	535
343	280	534
344	281	533
345	281	532
346	282	531
347	283	531
348	284	530
349	285	529
350	286	529
351	287	528
352	288	528
353	288	527
354	289	526
355	290	525
356	291	524
357	292	523
358	293	523
359	293	522
360	294	522
361	295	521
362	296	520
363	297	519
364	298	518
365	298	517
366	299	516
367	300	515
368	301	514
369	301	514
370	302	513
371	303	512
372	304	511
373	305	510
374	305	509
375	306	509
376	307	508
377	308	507
378	309	506
379	309	505
380	310	504
381	311	503
382	312	502
383	312	501
384	313	501
385	314	500
386	315	499
387	323	510
388	324	509
389	324	508
390	325	507
391	326	506
392	327	505
393	328	504
394	329	503
395	329	503
396	330	502
397	331	501
398	332	500
399	333	499
400	334	499
401	335	498
402	336	497
403	336	497
404	337	496
405	338	495
406	339	494
407	340	493
408	341	493
409	342	492
410	343	491
411	343	490
412	345	490
413	345	489
414	346	488
415	347	487
416	348	486
417	349	485
418	349	485
419	350	484
420	351	483
421	352	482
422	353	481
423	353	480
424	354	479
425	355	478
426	356	477
427	356	476
428	357	476
429	358	475
430	359	474
431	360	474
432	361	473
433	362	473
434	363	472
435	364	472
436	365	471
437	366	470
438	367	469
439	368	468
440	369	468
441	370	467
442	370	466
443	371	465
444	372	464
445	373	463
446	374	462
447	374	461
448	375	460
449	376	460
450	377	459
451	377	458
452	378	457
453	379	456
454	380	456
455	381	455
456	382	454
457	383	453
458	384	452
459	385	451
460	385	451
461	386	450
462	387	449
463	388	448
464	388	447
465	389	446
466	390	445
467	391	444
468	392	443
469	392	442
470	393	441
471	394	440
472	395	440
473	395	439
474	396	438
475	397	437
476	398	436
477	398	435
478	399	434
479	400	433
480	401	432
481	401	432
482	402	431
483	403	430
484	404	429
485	405	428
486	406	427
487	407	427
488	407	426
489	408	425
490	409	424
491	410	424
492	411	423
493	412	422
494	413	421
495	414	420
496	414	419
497	415	419
498	416	418
499	417	417
500	417	416
501	418	415
502	419	414
503	420	413
504	421	412
505	421	411
506	422	410
507	423	409
508	424	409
509	424	408
510	425	407
511	426	406
512	427	405
513	428	404
514	428	403
515	429	403
516	430	402
517	431	401
