iter	RMSE
0	1.662510636
1	1.641846912
2	1.62274931
3	1.60572767
4	1.588709114
5	1.568277139
6	1.551425219
7	1.537752712
8	1.521080626
9	1.506152749
10	1.491741234
11	1.472670655
12	1.457330055
13	1.443241764
14	1.429392344
15	1.417394958
16	1.403994728
17	1.391794376
18	1.381479231
19	1.368155518
20	1.356117545
21	1.343895047
22	1.331335342
23	1.316518053
24	1.30487339
25	1.294310353
26	1.28356508
27	1.271048591
28	1.25918434
29	1.247642341
30	1.237462469
31	1.227973316
32	1.218014884
33	1.209000394
34	1.198539275
35	1.189717912
36	1.180884488
37	1.171630052
38	1.163004091
39	1.153798737
40	1.1444847
41	1.136498692
42	1.128205255
43	1.120002987
44	1.11063104
45	1.101893473
46	1.092550109
47	1.082858734
48	1.07692796
49	1.069441522
50	1.062709036
51	1.055477902
52	1.049028629
53	1.041209497
54	1.035720754
55	1.027551569
56	1.020836539
57	1.014078372
58	1.007454321
59	0.9996435761
60	0.9912184994
61	0.9854674468
62	0.9781158151
63	0.9703371268
64	0.9644280424
65	0.9589770351
66	0.9526691635
67	0.9467524736
68	0.9404796753
69	0.9355739383
70	0.929719966
71	0.9240238664
72	0.9177550304
73	0.9111221646
74	0.9050248929
75	0.9004531142
76	0.8952457016
77	0.8910962143
78	0.8863431123
79	0.8806035589
80	0.8757532956
81	0.8717845601
82	0.8668534654
83	0.8620868773
84	0.8558464256
85	0.8516152707
86	0.8477885492
87	0.8431058107
88	0.8365093377
89	0.8333553369
90	0.8299922574
91	0.8261550537
92	0.8211559691
93	0.8165721934
94	0.8123849045
95	0.807382342
96	0.8030660963
97	0.7992427824
98	0.7949434031
99	0.7899570361
100	0.7852470144
101	0.7805887108
102	0.7772243711
103	0.7740512716
104	0.7712530249
105	0.7670957888
106	0.7628747095
107	0.7590942561
108	0.753973743
109	0.7497046639
110	0.7452336888
111	0.7407549662
112	0.7386123296
113	0.7361537876
114	0.7333946023
115	0.7292045481
116	0.7256498908
117	0.7228649475
118	0.7197745701
119	0.715801668
120	0.7121432868
121	0.7085491798
122	0.7059374663
123	0.7017818435
124	0.6980178541
125	0.695289745
126	0.6905766086
127	0.6873999314
128	0.6839341449
129	0.6817974478
130	0.6793500405
131	0.6768519761
132	0.6735696567
133	0.6714287008
134	0.6684314307
135	0.6653355353
136	0.661979624
137	0.6593233921
138	0.6565671876
139	0.653464145
140	0.6506288414
141	0.6478377273
142	0.6454057655
143	0.6421542121
144	0.6398057251
145	0.6374783469
146	0.6337949349
147	0.630094614
148	0.6268460844
149	0.6230465298
150	0.6206612689
151	0.6187284279
152	0.6159144876
153	0.6134656651
154	0.610108724
155	0.6050654663
156	0.6016088127
157	0.5991617411
158	0.5954902604
159	0.5923203454
160	0.5914960613
161	0.5888539886
162	0.5876791321
163	0.5840135186
164	0.5818838667
165	0.5791809414
166	0.5775217488
167	0.5742675916
168	0.5718575071
169	0.5697580543
170	0.5675345797
171	0.5648581824
172	0.5628063489
173	0.5609333586
174	0.5584828715
175	0.5559104721
176	0.553716526
177	0.5522474771
178	0.5511946016
179	0.5495441962
180	0.5469497294
181	0.5442336609
182	0.54271215
183	0.5408282925
184	0.5389448228
185	0.5364235759
186	0.5337955596
187	0.5319174013
188	0.5306831207
189	0.5284743682
190	0.5264915654
191	0.5246731362
192	0.5227440756
193	0.5208080307
194	0.5182256373
195	0.5162839999
196	0.5144328977
197	0.5128296002
198	0.5097162024
199	0.5081897853
200	0.5062674202
201	0.5035634265
202	0.5019974012
203	0.4995271524
