Model,Accuracy,Accuracy2,micro Precision,micro Recall,micro F1
<catboost,0.81 ± 0.02,0.96 ± 0.01,0.78 ± 0.02,0.71 ± 0.01,0.74 ± 0.03
ExtraTreesRegressor,0.79 ± 0.04,0.96 ± 0.01,0.72 ± 0.04,0.71 ± 0.02,0.70 ± 0.04
RandomForestRegressor,0.68 ± 0.05,0.95 ± 0.02,0.58 ± 0.08,0.58 ± 0.11,0.56 ± 0.09
HuberRegressor,0.65 ± 0.01,0.93 ± 0.00,0.60 ± 0.02,0.60 ± 0.02,0.59 ± 0.02
MLPRegressor,0.63 ± 0.03,0.93 ± 0.01,0.59 ± 0.04,0.59 ± 0.03,0.58 ± 0.04
RANSACRegressor,0.62 ± 0.02,0.93 ± 0.01,0.57 ± 0.03,0.55 ± 0.04,0.55 ± 0.03
ARDRegression,0.62 ± 0.01,0.94 ± 0.01,0.58 ± 0.01,0.58 ± 0.03,0.57 ± 0.02
BayesianRidge,0.62 ± 0.01,0.93 ± 0.00,0.59 ± 0.01,0.59 ± 0.02,0.58 ± 0.01
LinearRegression,0.62 ± 0.01,0.93 ± 0.01,0.58 ± 0.01,0.58 ± 0.03,0.57 ± 0.02
Ridge,0.62 ± 0.01,0.93 ± 0.00,0.59 ± 0.01,0.59 ± 0.02,0.58 ± 0.01
SVR,0.62 ± 0.01,0.93 ± 0.01,0.53 ± 0.04,0.53 ± 0.08,0.51 ± 0.05
Lars,0.59 ± 0.03,0.92 ± 0.01,0.54 ± 0.04,0.54 ± 0.05,0.53 ± 0.04
KernelRidge,0.59 ± 0.01,0.93 ± 0.01,0.57 ± 0.01,0.54 ± 0.01,0.55 ± 0.01
TheilSenRegressor,0.57 ± 0.02,0.93 ± 0.02,0.50 ± 0.03,0.53 ± 0.05,0.49 ± 0.03
AdaBoostRegressor,0.54 ± 0.03,0.98 ± 0.03,0.45 ± 0.02,0.41 ± 0.01,0.40 ± 0.01
KNeighborsRegressor,0.50 ± 0.01,0.91 ± 0.03,0.39 ± 0.01,0.36 ± 0.03,0.35 ± 0.03
